229,127
271,294
50,290
603,128
121,56
1099,239
202,1
588,42
449,56
190,125
164,21
9,239
419,276
919,151
573,312
69,182
292,170
14,306
300,137
181,203
127,159
248,296
9,94
741,11
242,306
258,296
127,7
174,69
705,234
22,217
195,292
269,104
685,13
480,151
729,236
173,125
228,1
690,46
211,6
993,130
205,268
1039,286
961,269
610,318
96,22
443,16
523,263
56,14
276,257
50,322
792,14
298,216
1021,189
735,314
451,332
392,38
529,269
125,130
357,151
523,328
431,200
404,42
100,221
199,90
879,169
1188,332
866,152
427,187
475,297
645,96
748,134
447,16
223,334
483,321
250,63
313,191
98,297
22,276
421,117
168,117
683,286
814,13
56,64
675,312
12,343
474,325
87,119
243,127
302,334
479,6
114,268
739,333
659,187
156,287
357,305
69,263
50,137
79,303
173,62
15,12
216,345
219,56
709,59
902,269
300,332
663,344
480,154
288,332
588,128
216,180
604,234
175,279
721,221
505,189
241,270
221,243
154,307
657,94
655,174
44,145
432,276
124,184
230,337
887,288
380,23
735,213
1197,151
635,372
56,387
191,342
241,373
313,388
94,38
89,373
124,13
117,168
753,12
190,90
568,233
661,328
282,130
144,8
612,251
1093,311
175,122
642,115
101,7
197,76
7,216
414,151
751,258
989,390
484,7
237,371
193,18
286,24
25,181
750,197
196,244
327,145
562,7
79,42
1405,192
1024,46
302,131
8,343
527,59
45,204
23,392
209,23
208,279
33,130
513,237
701,239
630,7
238,308
1019,363
461,387
319,392
845,52
200,330
547,372
650,239
496,175
182,16
269,376
291,346
318,412
742,66
432,325
185,49
320,292
482,296
187,115
603,239
469,339
50,283
223,92
588,312
237,101
316,112
496,42
854,248
137,383
222,57
168,334
265,145
13,18
98,59
194,106
443,366
582,338
251,79
293,157
55,347
633,151
495,7
100,252
603,237
194,84
652,334
418,314
152,210
97,230
300,222
161,87
423,276
265,271
153,207
604,202
143,130
210,290
663,239
166,392
238,407
143,90
272,174
217,394
420,200
179,312
251,344
268,157
739,314
977,357
69,236
234,255
272,258
135,154
23,94
979,394
491,7
192,457
936,416
238,421
273,347
216,90
59,73
583,256
273,159
237,265
69,38
846,174
162,90
427,383
140,471
213,169
685,291
258,416
632,90
282,141
313,428
443,239
537,269
513,354
230,307
258,164
1135,259
471,486
1296,427
180,392
131,437
91,95
847,458
655,405
12,457
1105,286
483,298
1021,235
303,113
94,471
514,58
769,256
603,297
427,214
15,165
50,405
187,347
753,420
746,436
28,328
745,11
515,386
269,174
837,90
609,472
183,494
192,498
190,299
238,246
230,495
147,357
12,249
301,342
70,90
132,389
528,94
156,145
493,312
182,402
127,389
607,370
170,361
61,391
1063,383
191,379
311,229
173,503
82,130
200,435
9,18
204,406
185,256
1,343
272,489
288,509
181,346
615,409
183,97
172,58
11,16
